MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,0.200738,0.401810,0.601997,0.802441,1.002863,1.203221,1.403671,1.604342,1.805318,2.006049,2.206412,2.406838,2.606817,2.807602,3.008508,3.208476,3.408663,3.609409,3.809272,4.009388
32,1,2000,26,0.200529,0.401007,0.601755,0.802136,1.002235,1.201944,1.402096,1.602133,1.802390,2.002716,2.203931,2.404527,2.604854,2.804473,3.005180,3.205153,3.405545,3.606105,3.806830,4.007156
32,1,2000,26,0.201107,0.401028,0.601435,0.801442,1.000804,1.201646,1.401342,1.601974,1.802812,2.004047,2.204345,2.405055,2.605420,2.806047,3.005676,3.205029,3.405193,3.605786,3.806035,4.005730
