MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,0.286415,0.557388,0.828299,1.098719,1.369509,1.640390,1.910864,2.181131,2.451761,2.721346,2.991329,3.262115,3.532490,3.802846,4.073370,4.343895,4.614495,4.884893,5.155504,5.426629
32,1,2000,26,0.270474,0.540918,0.811345,1.082107,1.352879,1.623487,1.894310,2.164903,2.435544,2.706222,2.976958,3.247147,3.517724,3.788352,4.059058,4.329591,4.599858,4.870312,5.140904,5.411671
32,1,2000,26,0.269965,0.540506,0.810313,1.080792,1.350798,1.620508,1.891484,2.161627,2.431699,2.701719,2.972011,3.242471,3.512968,3.783043,4.053558,4.323366,4.594894,4.864832,5.134908,5.405510
