MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,0.266572,0.531045,0.795270,1.059482,1.323727,1.588464,1.853077,2.116492,2.379697,2.642951,2.905943,3.168983,3.432067,3.695472,3.958964,4.221961,4.485271,4.748567,5.011730,5.274885
32,1,2000,26,0.262936,0.525949,0.789135,1.052166,1.315230,1.578437,1.841740,2.105201,2.368329,2.631316,2.894144,3.157546,3.420811,3.684103,3.947075,4.210294,4.473636,4.736696,5.000001,5.263119
32,1,2000,26,0.263408,0.526262,0.789094,1.052313,1.315597,1.578485,1.841592,2.104804,2.367842,2.630905,2.894202,3.157247,3.420587,3.683513,3.946379,4.209505,4.472673,4.735813,4.998829,5.261948
