MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,0.378470,0.733774,1.089381,1.444823,1.800464,2.156040,2.511605,2.867321,3.223601,3.579121,3.934378,4.289463,4.644806,5.000501,5.356075,5.711641,6.067210,6.422163,6.777314,7.132572
32,1,2000,26,0.355340,0.711369,1.067066,1.422695,1.778199,2.133802,2.489244,2.844854,3.200497,3.555761,3.911241,4.266245,4.621562,4.977412,5.333409,5.689105,6.044971,6.401139,6.757134,7.113024
32,1,2000,26,0.355982,0.711823,1.068057,1.423586,1.779561,2.134902,2.490691,2.847082,3.202865,3.558534,3.914164,4.269683,4.625593,4.981220,5.336710,5.692613,6.048054,6.403555,6.759118,7.114164
