MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,0.287236,0.558308,0.829037,1.098812,1.369851,1.640943,1.911960,2.183142,2.453171,2.723274,2.994634,3.265464,3.535342,3.806293,4.076307,4.346430,4.616571,4.886415,5.157473,5.428592
32,1,2000,26,0.271092,0.542887,0.813831,1.085289,1.356207,1.627062,1.898252,2.169411,2.440575,2.711374,2.982333,3.253016,3.523714,3.794851,4.066371,4.336886,4.608081,4.878717,5.149650,5.420362
32,1,2000,26,0.270846,0.541341,0.812154,1.082670,1.352837,1.622708,1.892466,2.162376,2.432080,2.702532,2.972370,3.242470,3.512543,3.782679,4.052777,4.322415,4.592372,4.861877,5.132057,5.402514
