MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,70.625783,140.609070,210.742796,280.847015,350.865617,421.193815,491.285834,561.323423,631.395308,701.457322,771.556009,841.673432,911.825088,981.781594,1052.165060,1122.186525,1192.318685,1262.273045,1332.210293,1402.235606
32,1,2000,26,70.040356,140.017476,210.044586,280.006110,349.937403,419.848885,489.826036,559.821170,629.882316,699.816217,769.761393,839.733163,909.753144,979.663440,1049.535517,1119.427416,1189.279363,1259.300441,1329.252701,1399.128056
32,1,2000,26,69.916685,139.860094,209.762346,279.965937,350.208804,420.996442,490.767918,560.652871,630.352277,700.496331,770.172208,839.931778,909.743537
