MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
32,1,2000,26,36.201384,71.975299,107.922275,143.844929,179.719471,215.925549,252.013257,288.118855,324.314541,360.484665,396.618856,432.584731,468.78760232,1,2000,26,35.794031,72.323342,108.871634,145.591142,182.298252,218.903008,255.662906,292.512250,329.398242,366.366554,403.236459,440.117998,476.858942,513.709500,550.624199,587.839476,625.283498,662.558749,699.802414,737.012428
32,1,2000,26,37.263238,74.672558,111.929112,149.136450,186.156600,223.148080,260.103208,297.075932,334.25520232,1,2000,26,35.220831,70.922259,106.673501,142.651944,178.482473,214.292929,250.157532,285.930873,321.848667,357.715807,393.783227,429.689123,465.642728,501.436669,537.229984,573.012700,608.927631,644.949205,680.919922,716.751420
32,1,2000,26,35.874887,71.614047,107.420988,143.359463,179.335047,215.314231,251.223303,287.075417,322.785965,358.659283,394.478048,430.457937,466.301714,502.208174,538.047205,573.648353,609.512366,645.423644,681.381028,717.379182
32,1,2000,26,35.859940,71.711180,107.471326,143.257894,179.176543,210.648220,240.286878,269.901193,299.463069,329.093280,358.724285,388.337297,417.816529,447.457779,477.102283,506.747691,536.344871,565.956509,595.477198,625.117293
