MPI,OMP,nsamples,bounces,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
16,8,2000,26,1.248417,2.487692,3.701996,4.901993,6.099922,7.297451,8.497780,9.699299,10.901985,12.105833,13.312018,14.519315,15.728411,16.939228,18.152164,19.362004,20.570481,21.779533,22.999961,24.148006
