MPI,OMP,nsamples,bounces,1000
64,1,1000,26,74.651495
128,1,1000,26,31.123416
128,1,1000,26,30.744455
128,1,1000,26,30.758219
64,1,1000,26,75.029423
32,1,1000,26,148.000871
64,1,1000,26,71.686977
32,1,1000,26,145.301770
16,1,1000,26,311.039298
32,1,1000,26,146.124697
8,1,1000,26,585.183850
16,1,1000,26,268.943940
16,1,1000,26,251.206546
4,1,1000,26,1057.232724
8,1,1000,26,504.393705
8,1,1000,26,514.022647
4,1,1000,26,982.095474
2,1,1000,26,2073.860074
4,1,1000,26,999.667004
